address,orientation,bearing,nearest_road,road_distance_m
14 VICTORIA STREET,Unknown,,,0.03
17 PARK AVENUE,Unknown,,,0.03
18 PARK AVENUE,Unknown,,,0.03
44 VICTORIA STREET,Unknown,,,0.03
45 VICTORIA STREET,Unknown,,,0.03
24 WILLIAM STREET,Unknown,,,0.02
27 WILLIAM STREET,Unknown,,,0.02
30 WILLIAM STREET,Unknown,,,0.02
85 BABBAGE ROAD,Unknown,,,0.02
87 BABBAGE ROAD,Unknown,,,0.02
88 BABBAGE ROAD,Unknown,,,0.02
89 BABBAGE ROAD,Unknown,,,0.02
91 BABBAGE ROAD,Unknown,,,0.02
92 BABBAGE ROAD,Unknown,,,0.02
93 BABBAGE ROAD,Unknown,,,0.02
"UNIT 21, 184 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 25, 184 PACIFIC HIGHWAY",Unknown,,,0.04
56 GRIFFITH AVENUE,Unknown,,,0.02
58 GRIFFITH AVENUE,Unknown,,,0.02
59 GRIFFITH AVENUE,Unknown,,,0.02
6 GRIFFITH AVENUE,Unknown,,,0.02
61 GRIFFITH AVENUE,Unknown,,,0.02
182 PACIFIC HIGHWAY,Unknown,,,0.04
11 THE QUARTERDECK,Unknown,,Harold Reid Foreshore Track,0.0
105A BOUNDARY STREET,Unknown,,,0.02
19 ARTARMON ROAD,Unknown,,Morotai Crescent,0.01
15 ARTARMON ROAD,Unknown,,Morotai Crescent,0.01
2 HORSLEY AVENUE,Unknown,,,0.01
53 PENSHURST STREET,Unknown,,Warners Avenue,0.01
54 PENSHURST STREET,Unknown,,Warners Avenue,0.01
55 PENSHURST STREET,Unknown,,Warners Avenue,0.01
20 WINDSOR ROAD,Unknown,,Warners Avenue,0.0
21 WINDSOR ROAD,Unknown,,Eastern Valley Way,0.0
4 WINDSOR ROAD,Unknown,,Warners Avenue,0.0
3 PENSHURST STREET,Unknown,,Warners Avenue,0.01
52 PENSHURST STREET,Unknown,,Warners Avenue,0.01
69 PENSHURST STREET,Unknown,,Warners Avenue,0.01
7 PENSHURST STREET,Unknown,,Warners Avenue,0.01
1 ZARA ROAD,Unknown,,Warners Avenue,0.01
2 ZARA ROAD,Unknown,,Warners Avenue,0.01
3 ZARA ROAD,Unknown,,Warners Avenue,0.01
7 ZARA ROAD,Unknown,,Warners Avenue,0.01
8 ZARA ROAD,Unknown,,Warners Avenue,0.01
64 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
72 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
74 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
8 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
18A NARDOO ROAD,Unknown,,Warners Avenue,0.01
18 NARDOO ROAD,Unknown,,Warners Avenue,0.01
11 NARDOO ROAD,Unknown,,Warners Avenue,0.01
13 NARDOO ROAD,Unknown,,Warners Avenue,0.01
16 NARDOO ROAD,Unknown,,Warners Avenue,0.01
3 NARDOO ROAD,Unknown,,Warners Avenue,0.01
4 NARDOO ROAD,Unknown,,Warners Avenue,0.01
6 NARDOO ROAD,Unknown,,Warners Avenue,0.01
7 NARDOO ROAD,Unknown,,Warners Avenue,0.01
8 NARDOO ROAD,Unknown,,Warners Avenue,0.01
9 NARDOO ROAD,Unknown,,Warners Avenue,0.01
"UNIT 2, 90B PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 2, 96 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 3, 92 PACIFIC HIGHWAY",Unknown,,,0.03
70B PACIFIC HIGHWAY,Unknown,,,0.03
56 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
15 HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
29B HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
